Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-03-14,1383.6199951171875,1395.1500244140625,1359.1500244140625,1359.1500244140625,1094000000,0.0,0.0,1402.2489990234376,,,0,49.686115480640176,1373.072003173828,21.686285987481348,0,1291.1925231933594,0.03,-0.017685470569578254,-0.017685470569578254,-0.0053204865981466565
2000-03-15,1359.1500244140625,1397.989990234375,1356.989990234375,1392.1400146484375,1302800000,0.0,0.0,1400.9873999023437,,,0,57.14126789528158,1372.5765014648437,21.09446983087342,0,1322.5330139160155,0.03,0.02427251564712085,0.0,0.009389622744045978
2000-03-16,1392.1500244140625,1458.469970703125,1392.1500244140625,1458.469970703125,1482300000,0.0,0.0,1402.1683984375,,,0,69.71540516281881,1376.1164978027343,28.42700536202496,1,1385.5464721679687,0.03,0.047646038011081915,0.0,0.05551612464925193
2000-03-17,1458.469970703125,1477.3299560546875,1453.3199462890625,1464.469970703125,1295100000,0.0,0.0,1403.4155981445313,,,0,68.86260160993652,1379.9269958496093,34.58191756476046,1,1391.2464721679687,0.03,0.0041139002657062385,0.0041139002657062385,0.03924290542182329
2000-03-20,1464.469970703125,1470.300048828125,1448.489990234375,1456.6300048828125,920800000,0.0,0.0,1404.47919921875,,,0,65.13235383251944,1385.4539978027344,37.59179880352489,1,1383.7985046386718,0.03,-0.005353449355160467,-0.005353449355160467,0.04697111595784498
2000-03-21,1456.6300048828125,1493.9200439453125,1446.06005859375,1493.8699951171875,1065900000,0.0,0.0,1405.5271997070313,,,0,67.77765288407934,1392.538995361328,43.825002770953986,1,1419.176495361328,0.03,0.025565854135601862,0.025565854135601862,0.1019828569200536
2000-03-22,1493.8699951171875,1505.0799560546875,1487.3299560546875,1500.6400146484375,1075000000,0.0,0.0,1406.3880004882812,,,0,68.1918425735424,1399.5364990234375,49.30258532383277,1,1425.6080139160156,0.03,0.004531866597078826,0.004531866597078826,0.0980025376906728
2000-03-23,1500.6400146484375,1532.5,1492.3900146484375,1527.3499755859375,1078300000,0.0,0.0,1408.163798828125,,,0,68.12354403991436,1408.2324951171875,55.66924266691548,1,1450.9824768066405,0.03,0.017799046191472767,0.017799046191472767,0.08964895193127997
2000-03-24,1527.3499755859375,1552.8699951171875,1516.8299560546875,1527.4599609375,1052200000,0.0,0.0,1410.067998046875,,,0,72.08850242984497,1417.9374938964843,58.76258336205102,1,1451.086962890625,0.03,7.20105760438905e-05,7.20105760438905e-05,0.09489847803015161
2000-03-27,1527.4599609375,1534.6300048828125,1518.4599609375,1523.8599853515625,901000000,0.0,0.0,1411.5515966796875,,,0,80.45622170325834,1426.7279907226562,60.86985486442519,1,1447.6669860839843,0.03,-0.0023568379388013705,-0.0023568379388013705,0.10135730238742124
2000-03-28,1523.8599853515625,1527.3599853515625,1507.0899658203125,1507.72998046875,959100000,0.0,0.0,1412.4031958007813,,,0,75.07202697224564,1433.7934875488281,61.69683706958277,1,1432.3434814453124,0.03,-0.01058496517912777,-0.01058496517912777,0.10931828965587598
2000-03-29,1507.72998046875,1521.449951171875,1497.449951171875,1508.52001953125,1061900000,0.0,0.0,1413.4707958984375,,,0,71.62116223085711,1440.259991455078,62.44563456943408,1,1433.0940185546874,0.03,0.0005239924076154701,0.0005239924076154701,0.08359791663067906
2000-03-30,1508.52001953125,1517.3800048828125,1474.6300048828125,1487.9200439453125,1193400000,0.0,0.0,1414.1111962890625,,,0,67.78534537747692,1445.5679931640625,61.71898256216205,1,1413.5240417480468,0.03,-0.013655752206946925,-0.013655752206946925,0.020192444022683276
2000-03-31,1487.9200439453125,1519.81005859375,1484.3800048828125,1498.5799560546875,1227400000,0.0,0.0,1415.171396484375,,,0,72.08731807171498,1450.0384887695313,62.18020257143829,1,1423.6509582519532,0.03,0.007164304394414511,0.007164304394414511,0.02329169326373104
2000-04-03,1498.5799560546875,1507.18994140625,1486.9599609375,1505.969970703125,1021700000,0.0,0.0,1416.4635961914062,,,0,80.19001337874913,1455.7729858398438,61.7632403121949,1,1430.6714721679687,0.03,0.004931344916619063,0.004931344916619063,0.033872682599506154
2000-04-04,1505.97998046875,1526.449951171875,1416.4100341796875,1494.72998046875,1515460000,0.0,0.0,1418.3275952148438,,,0,73.16744119630232,1462.7284851074219,57.58230068984356,0,1419.9934814453125,0.03,-0.007463621754109195,-0.007463621754109195,0.0005756761661814824
2000-04-05,1494.72998046875,1506.550048828125,1478.050048828125,1487.3699951171875,1110300000,0.0,0.0,1419.87439453125,,,0,58.89560962706291,1468.7619873046874,53.141502966107055,0,1413.0014953613281,0.03,-0.004923956465537893,-0.0,-0.008842906627648972
2000-04-06,1487.3699951171875,1511.760009765625,1487.3699951171875,1501.3399658203125,1008000000,0.0,0.0,1421.81939453125,,,0,60.818039007247144,1473.7444885253906,51.15637861515002,0,1426.272967529297,0.03,0.009392397822321596,0.0,-0.017029502197521418
2000-04-07,1501.3399658203125,1518.6800537109375,1501.3399658203125,1516.3499755859375,891600000,0.0,0.0,1424.1751928710937,,,0,66.8149641102772,1479.8084899902344,48.456506837832535,0,1440.5324768066405,0.03,0.009997742088630579,0.0,-0.007273503486627253
2000-04-10,1516.3499755859375,1527.18994140625,1503.3499755859375,1504.4599609375,853700000,0.0,0.0,1427.06119140625,,,0,53.47828143956981,1485.85048828125,43.065422477730266,0,1429.236962890625,0.03,-0.007841207399263528,-0.0,-0.0127308444348887
2000-04-11,1504.4599609375,1512.800048828125,1486.780029296875,1500.5899658203125,971400000,0.0,0.0,1429.1837915039061,,,0,49.98324218718068,1492.9224853515625,31.121124534238966,0,1425.5604675292968,0.03,-0.0025723483626483024,-0.0,-0.0047356056727198
